OpType,Time
Conv,0.000200
Conv,0.000300
Conv,0.000130
Conv,0.000070
BatchNormalization,0
Pad,0.002000
Conv,0
Conv,0.000200
Add,0.000750
Conv,0
Pad,0.00063
Conv,0
Conv,0.00085
Add,0.000392
Add,0.004454
Conv,0
Pad,0.000300
Conv,0
Conv,0.000047
Add,0.000226
Add,0.000175
Add,0.000177
Conv,0
Conv,0.000070
Conv,0.000045
Add,0.000400
Add,0.00030
Conv,0
Pad,0.000410
Conv,0
Conv,0.000063
Add,0.00036
Add,0.000229
Conv,0
Conv,0.00009
Conv,0.00003
Conv,0.00014
BatchNormalization,0
GlobalAveragePool,0.000200
MatMul,0
