Layer,Hf,Wf,Cin,Cout,FLOPS,Time
2,3,3,3,64,86704128,0.20324397087097168
2,3,3,3,64,86704128,0.2809691429138184
2,3,3,3,64,86704128,0.20290684700012207
2,3,3,3,64,86704128,0.2777831554412842
2,3,3,3,64,86704128,0.22246766090393064
2,3,3,3,64,86704128,0.20784807205200195
2,3,3,3,64,86704128,0.1806137561798096
2,3,3,3,64,86704128,0.2783329486846924
2,3,3,3,64,86704128,0.2537364959716797
2,3,3,3,64,86704128,0.21539950370788571
2,3,3,3,64,86704128,0.2107388973236084
2,3,3,3,64,86704128,0.28207826614379883
2,3,3,3,64,86704128,0.2548561096191406
2,3,3,3,64,86704128,0.2015383243560791
2,3,3,3,64,86704128,0.278073787689209
2,3,3,3,64,86704128,0.2082462310791016
2,3,3,3,64,86704128,0.2805147171020508
2,3,3,3,64,86704128,0.2593274116516113
2,3,3,3,64,86704128,0.2819380760192871
2,3,3,3,64,86704128,0.2281157970428467
2,3,3,3,64,86704128,0.2786128520965576
2,3,3,3,64,86704128,0.27341461181640625
2,3,3,3,64,86704128,0.2782847881317139
2,3,3,3,64,86704128,0.24481821060180664
2,3,3,3,64,86704128,0.2772777080535889
2,3,3,3,64,86704128,0.22364091873168945
2,3,3,3,64,86704128,0.277249813079834
2,3,3,3,64,86704128,0.23515892028808594
2,3,3,3,64,86704128,0.2853870391845703
2,3,3,3,64,86704128,0.2617828845977783
2,3,3,3,64,86704128,0.28029656410217285
2,3,3,3,64,86704128,0.17991256713867188
2,3,3,3,64,86704128,0.2109067440032959
2,3,3,3,64,86704128,0.19512057304382324
2,3,3,3,64,86704128,0.1764090061187744
2,3,3,3,64,86704128,0.2162168025970459
2,3,3,3,64,86704128,0.19928836822509768
2,3,3,3,64,86704128,0.19985580444335935
2,3,3,3,64,86704128,0.1762542724609375
2,3,3,3,64,86704128,0.20593762397766116
2,3,3,3,64,86704128,0.20416665077209475
2,3,3,3,64,86704128,0.17309212684631348
2,3,3,3,64,86704128,0.2090580463409424
2,3,3,3,64,86704128,0.18730449676513672
2,3,3,3,64,86704128,0.15946340560913086
2,3,3,3,64,86704128,0.17268657684326172
2,3,3,3,64,86704128,0.2117447853088379
2,3,3,3,64,86704128,0.2064344882965088
2,3,3,3,64,86704128,0.15923810005187988
2,3,3,3,64,86704128,0.1599583625793457
2,3,3,3,64,86704128,0.21431636810302732
2,3,3,3,64,86704128,0.2196228504180908
2,3,3,3,64,86704128,0.19538021087646484
2,3,3,3,64,86704128,0.15911626815795898
2,3,3,3,64,86704128,0.16118216514587402
2,3,3,3,64,86704128,0.1621990203857422
2,3,3,3,64,86704128,0.18596887588500974
2,3,3,3,64,86704128,0.21399974822998047
2,3,3,3,64,86704128,0.19659066200256348
2,3,3,3,64,86704128,0.1782999038696289
2,3,3,3,64,86704128,0.2127113342285156
2,3,3,3,64,86704128,0.19016432762146
2,3,3,3,64,86704128,0.15969276428222656
2,3,3,3,64,86704128,0.16273880004882812
2,3,3,3,64,86704128,0.1622776985168457
2,3,3,3,64,86704128,0.19484448432922366
2,3,3,3,64,86704128,0.2788705825805664
2,3,3,3,64,86704128,0.2667393684387207
2,3,3,3,64,86704128,0.2037904262542725
2,3,3,3,64,86704128,0.28948235511779785
2,3,3,3,64,86704128,0.2546072006225586
2,3,3,3,64,86704128,0.20877599716186526
2,3,3,3,64,86704128,0.28670430183410645
2,3,3,3,64,86704128,0.2444593906402588
2,3,3,3,64,86704128,0.21056270599365234
2,3,3,3,64,86704128,0.201709508895874
2,3,3,3,64,86704128,0.20232224464416504
2,3,3,3,64,86704128,0.2778947353363037
2,3,3,3,64,86704128,0.2060208320617676
2,3,3,3,64,86704128,0.2779116630554199
2,3,3,3,64,86704128,0.24561047554016116
2,3,3,3,64,86704128,0.20990800857543945
2,3,3,3,64,86704128,0.21713638305664065
2,3,3,3,64,86704128,0.2787094116210937
2,3,3,3,64,86704128,0.2543148994445801
2,3,3,3,64,86704128,0.21091485023498532
2,3,3,3,64,86704128,0.1936030387878418
2,3,3,3,64,86704128,0.2794530391693115
2,3,3,3,64,86704128,0.2522068023681641
2,3,3,3,64,86704128,0.286179780960083
2,3,3,3,64,86704128,0.2201242446899414
2,3,3,3,64,86704128,0.2093954086303711
2,3,3,3,64,86704128,0.2809212207794189
2,3,3,3,64,86704128,0.2547619342803955
2,3,3,3,64,86704128,0.211641788482666
2,3,3,3,64,86704128,0.28081440925598145
2,3,3,3,64,86704128,0.2784698009490967
2,3,3,3,64,86704128,0.21987247467041016
2,3,3,3,64,86704128,0.2112584114074707
2,3,3,3,64,86704128,0.20527172088623047
2,3,3,3,64,86704128,0.1980142593383789
2,3,3,3,64,86704128,0.2809329032897949
2,3,3,3,64,86704128,0.2651784420013428
2,3,3,3,64,86704128,0.18459773063659668
2,3,3,3,64,86704128,0.2178659439086914
2,3,3,3,64,86704128,0.20542383193969727
2,3,3,3,64,86704128,0.1911048889160156
2,3,3,3,64,86704128,0.2814104557037353
2,3,3,3,64,86704128,0.21361613273620605
2,3,3,3,64,86704128,0.2080378532409668
2,3,3,3,64,86704128,0.2829899787902832
2,3,3,3,64,86704128,0.2466690540313721
2,3,3,3,64,86704128,0.20779132843017575
2,3,3,3,64,86704128,0.28487491607666016
2,3,3,3,64,86704128,0.2514660358428955
2,3,3,3,64,86704128,0.20177888870239255
2,3,3,3,64,86704128,0.27925658226013184
2,3,3,3,64,86704128,0.2620344161987305
2,3,3,3,64,86704128,0.2890775203704834
2,3,3,3,64,86704128,0.2288792133331299
2,3,3,3,64,86704128,0.2768845558166504
2,3,3,3,64,86704128,0.25584888458251953
2,3,3,3,64,86704128,0.1969461441040039
2,3,3,3,64,86704128,0.2795701026916504
2,3,3,3,64,86704128,0.2556440830230713
2,3,3,3,64,86704128,0.21448016166687006
2,3,3,3,64,86704128,0.1932084560394287
2,3,3,3,64,86704128,0.15320467948913574
2,3,3,3,64,86704128,0.1796424388885498
2,3,3,3,64,86704128,0.2127182483673096
2,3,3,3,64,86704128,0.19800448417663571
2,3,3,3,64,86704128,0.184542179107666
2,3,3,3,64,86704128,0.1945328712463379
2,3,3,3,64,86704128,0.17696857452392578
2,3,3,3,64,86704128,0.21607398986816406
2,3,3,3,64,86704128,0.20549440383911133
2,3,3,3,64,86704128,0.19837379455566406
2,3,3,3,64,86704128,0.1883394718170166
2,3,3,3,64,86704128,0.17959237098693848
2,3,3,3,64,86704128,0.21465563774108887
2,3,3,3,64,86704128,0.20011639595031736
2,3,3,3,64,86704128,0.17757511138916016
2,3,3,3,64,86704128,0.2131035327911377
2,3,3,3,64,86704128,0.19419503211975095
2,3,3,3,64,86704128,0.1710643768310547
2,3,3,3,64,86704128,0.20838451385498047
2,3,3,3,64,86704128,0.19753456115722656
2,3,3,3,64,86704128,0.179304838180542
2,3,3,3,64,86704128,0.21139311790466309
2,3,3,3,64,86704128,0.2028946876525879
2,3,3,3,64,86704128,0.18596982955932614
2,3,3,3,64,86704128,0.2128007411956787
2,3,3,3,64,86704128,0.20386981964111328
2,3,3,3,64,86704128,0.1813807487487793
2,3,3,3,64,86704128,0.21255207061767575
2,3,3,3,64,86704128,0.2073190212249756
2,3,3,3,64,86704128,0.19988751411437988
2,3,3,3,64,86704128,0.17637157440185547
2,3,3,3,64,86704128,0.2167878150939941
2,3,3,3,64,86704128,0.2025308609008789
2,3,3,3,64,86704128,0.1992335319519043
2,3,3,3,64,86704128,0.2801156044006348
2,3,3,3,64,86704128,0.2777509689331055
2,3,3,3,64,86704128,0.2807121276855469
2,3,3,3,64,86704128,0.2456657886505127
2,3,3,3,64,86704128,0.21197772026062006
2,3,3,3,64,86704128,0.20363473892211914
2,3,3,3,64,86704128,0.19750118255615234
2,3,3,3,64,86704128,0.29058146476745605
2,3,3,3,64,86704128,0.2480587959289551
2,3,3,3,64,86704128,0.20810389518737796
2,3,3,3,64,86704128,0.2062540054321289
2,3,3,3,64,86704128,0.2044534683227539
2,3,3,3,64,86704128,0.19329190254211426
2,3,3,3,64,86704128,0.2769620418548584
2,3,3,3,64,86704128,0.2248368263244629
2,3,3,3,64,86704128,0.2034900188446045
2,3,3,3,64,86704128,0.20377302169799805
2,3,3,3,64,86704128,0.27780985832214355
2,3,3,3,64,86704128,0.2344949245452881
2,3,3,3,64,86704128,0.21214795112609866
2,3,3,3,64,86704128,0.28799891471862793
2,3,3,3,64,86704128,0.23775339126586914
2,3,3,3,64,86704128,0.20178890228271484
2,3,3,3,64,86704128,0.2119889259338379
2,3,3,3,64,86704128,0.2763710021972656
2,3,3,3,64,86704128,0.20801591873168945
2,3,3,3,64,86704128,0.2814126014709473
2,3,3,3,64,86704128,0.25180625915527344
2,3,3,3,64,86704128,0.20340394973754886
2,3,3,3,64,86704128,0.2782595157623291
2,3,3,3,64,86704128,0.2343161106109619
3,3,3,64,64,1849688064,0.757677871733904
3,3,3,64,64,1849688064,0.8473234958946705
3,3,3,64,64,1849688064,0.840211231261492
3,3,3,64,64,1849688064,0.8074692077934742
3,3,3,64,64,1849688064,0.7839697189629078
3,3,3,64,64,1849688064,0.7695744819939135
3,3,3,64,64,1849688064,0.7947676964104176
3,3,3,64,64,1849688064,0.8134351558983326
3,3,3,64,64,1849688064,0.7461951561272144
3,3,3,64,64,1849688064,0.8427239246666431
3,3,3,64,64,1849688064,0.8740320987999439
3,3,3,64,64,1849688064,0.8571730442345142
3,3,3,64,64,1849688064,0.8360334224998951
3,3,3,64,64,1849688064,0.7931252308189869
3,3,3,64,64,1849688064,0.8065527267754078
3,3,3,64,64,1849688064,0.862271148711443
3,3,3,64,64,1849688064,0.8514710254967213
3,3,3,64,64,1849688064,0.8417440243065357
3,3,3,64,64,1849688064,0.8176852054893973
3,3,3,64,64,1849688064,0.7833681888878345
3,3,3,64,64,1849688064,0.8036716766655443
3,3,3,64,64,1849688064,0.7551258392632008
3,3,3,64,64,1849688064,0.7934985943138599
3,3,3,64,64,1849688064,0.778603870421648
3,3,3,64,64,1849688064,0.7881530113518236
3,3,3,64,64,1849688064,0.8423839397728443
3,3,3,64,64,1849688064,0.831278879195452
3,3,3,64,64,1849688064,0.8146797008812428
3,3,3,64,64,1849688064,0.8034346885979176
3,3,3,64,64,1849688064,0.8808067627251148
3,3,3,64,64,1849688064,0.7549556083977224
3,3,3,64,64,1849688064,0.8391323871910572
3,3,3,64,64,1849688064,0.7653857059776784
3,3,3,64,64,1849688064,0.855433065444231
3,3,3,64,64,1849688064,0.818813640624285
3,3,3,64,64,1849688064,0.7930181808769703
3,3,3,64,64,1849688064,0.7932899780571461
3,3,3,64,64,1849688064,0.8142214603722095
3,3,3,64,64,1849688064,0.8199687786400318
3,3,3,64,64,1849688064,0.7704513855278492
3,3,3,64,64,1849688064,0.8068688698112965
3,3,3,64,64,1849688064,0.8108442611992359
3,3,3,64,64,1849688064,0.845310527831316
3,3,3,64,64,1849688064,0.8335209675133228
3,3,3,64,64,1849688064,0.7971313782036304
3,3,3,64,64,1849688064,0.7982016392052174
3,3,3,64,64,1849688064,0.872513372451067
3,3,3,64,64,1849688064,0.7963107414543626
3,3,3,64,64,1849688064,0.7588132210075856
3,3,3,64,64,1849688064,0.8421243019402029
3,3,3,64,64,1849688064,0.8159712143242359
3,3,3,64,64,1849688064,0.8170386143028736
3,3,3,64,64,1849688064,0.7987886257469654
3,3,3,64,64,1849688064,0.7599983997642994
3,3,3,64,64,1849688064,0.8635311909019949
3,3,3,64,64,1849688064,0.8406561203300953
3,3,3,64,64,1849688064,0.8294137306511402
3,3,3,64,64,1849688064,0.8103028126060965
3,3,3,64,64,1849688064,0.8025203533470633
3,3,3,64,64,1849688064,0.8019946403801439
3,3,3,64,64,1849688064,0.8540952987968922
3,3,3,64,64,1849688064,0.8350227661430836
3,3,3,64,64,1849688064,0.8129940815269949
3,3,3,64,64,1849688064,0.7694872207939624
3,3,3,64,64,1849688064,0.84014542773366
3,3,3,64,64,1849688064,0.8332515545189381
3,3,3,64,64,1849688064,0.8124419040977955
3,3,3,64,64,1849688064,0.8403111286461351
3,3,3,64,64,1849688064,0.795515138655901
3,3,3,64,64,1849688064,0.7988115139305592
3,3,3,64,64,1849688064,0.8215504474937916
3,3,3,64,64,1849688064,0.8228486366569996
3,3,3,64,64,1849688064,0.8050330467522144
3,3,3,64,64,1849688064,0.7937963791191578
3,3,3,64,64,1849688064,0.8452256508171556
3,3,3,64,64,1849688064,0.8422344513237476
3,3,3,64,64,1849688064,0.7722996063530444
3,3,3,64,64,1849688064,0.808109600096941
3,3,3,64,64,1849688064,0.8008244819939137
3,3,3,64,64,1849688064,0.8547125644981859
3,3,3,64,64,1849688064,0.8608632870018482
3,3,3,64,64,1849688064,0.8443840332329271
3,3,3,64,64,1849688064,0.8270772285759447
3,3,3,64,64,1849688064,0.836730320006609
3,3,3,64,64,1849688064,0.8110073395073414
3,3,3,64,64,1849688064,0.7872572727501392
3,3,3,64,64,1849688064,0.8607981987297535
3,3,3,64,64,1849688064,0.8326056785881519
3,3,3,64,64,1849688064,0.8392847366631031
3,3,3,64,64,1849688064,0.8135021515190599
3,3,3,64,64,1849688064,0.8842161484062672
3,3,3,64,64,1849688064,0.7798591442406178
3,3,3,64,64,1849688064,0.7864614315330982
3,3,3,64,64,1849688064,0.8404460735619068
3,3,3,64,64,1849688064,0.8296235390007496
3,3,3,64,64,1849688064,0.8046603985130787
3,3,3,64,64,1849688064,0.8979240246117115
3,3,3,64,64,1849688064,0.8033901043236256
3,3,3,64,64,1849688064,0.8255742378532889
3,3,3,64,64,1849688064,0.8128472156822681
3,3,3,64,64,1849688064,0.852820236235857
3,3,3,64,64,1849688064,0.8234208412468431
3,3,3,64,64,1849688064,0.8137353248894217
3,3,3,64,64,1849688064,0.8717959709465504
3,3,3,64,64,1849688064,0.8632403202354908
3,3,3,64,64,1849688064,0.8396364040672779
3,3,3,64,64,1849688064,0.8118809051811695
3,3,3,64,64,1849688064,0.8091822452843187
3,3,3,64,64,1849688064,0.7799821682274342
3,3,3,64,64,1849688064,0.8507691211998465
3,3,3,64,64,1849688064,0.8386109657585621
