Layer,Hf,Wf,Cin,Cout,FLOPS,Time
2,3,3,3,64,86704128,0.1782999038696289
2,3,3,3,64,86704128,0.28948235511779785
2,3,3,3,64,86704128,0.2853870391845703
2,3,3,3,64,86704128,0.2890775203704834
2,3,3,3,64,86704128,0.286179780960083
2,3,3,3,64,86704128,0.2620344161987305
2,3,3,3,64,86704128,0.2617828845977783
2,3,3,3,64,86704128,0.2444593906402588
2,3,3,3,64,86704128,0.16273880004882812
2,3,3,3,64,86704128,0.2522068023681641
2,3,3,3,64,86704128,0.2514660358428955
2,3,3,3,64,86704128,0.2537364959716797
2,3,3,3,64,86704128,0.17757511138916016
2,3,3,3,64,86704128,0.1806137561798096
2,3,3,3,64,86704128,0.21539950370788571
2,3,3,3,64,86704128,0.24481821060180664
2,3,3,3,64,86704128,0.19659066200256348
2,3,3,3,64,86704128,0.2763710021972656
2,3,3,3,64,86704128,0.25180625915527344
2,3,3,3,64,86704128,0.21713638305664065
2,3,3,3,64,86704128,0.20990800857543945
2,3,3,3,64,86704128,0.2201242446899414
2,3,3,3,64,86704128,0.17696857452392578
2,3,3,3,64,86704128,0.2196228504180908
2,3,3,3,64,86704128,0.2343161106109619
2,3,3,3,64,86704128,0.2167878150939941
2,3,3,3,64,86704128,0.2344949245452881
2,3,3,3,64,86704128,0.2073190212249756
2,3,3,3,64,86704128,0.1969461441040039
2,3,3,3,64,86704128,0.25584888458251953
2,3,3,3,64,86704128,0.21361613273620605
2,3,3,3,64,86704128,0.19419503211975095
2,3,3,3,64,86704128,0.2093954086303711
2,3,3,3,64,86704128,0.19538021087646484
2,3,3,3,64,86704128,0.19837379455566406
2,3,3,3,64,86704128,0.2556440830230713
2,3,3,3,64,86704128,0.1599583625793457
2,3,3,3,64,86704128,0.21987247467041016
2,3,3,3,64,86704128,0.1936030387878418
2,3,3,3,64,86704128,0.2044534683227539
2,3,3,3,64,86704128,0.179304838180542
2,3,3,3,64,86704128,0.2543148994445801
2,3,3,3,64,86704128,0.1945328712463379
2,3,3,3,64,86704128,0.2090580463409424
2,3,3,3,64,86704128,0.21399974822998047
2,3,3,3,64,86704128,0.17991256713867188
2,3,3,3,64,86704128,0.19512057304382324
2,3,3,3,64,86704128,0.19484448432922366
2,3,3,3,64,86704128,0.20877599716186526
2,3,3,3,64,86704128,0.20011639595031736
2,3,3,3,64,86704128,0.21607398986816406
2,3,3,3,64,86704128,0.2162168025970459
2,3,3,3,64,86704128,0.20232224464416504
2,3,3,3,64,86704128,0.28207826614379883
2,3,3,3,64,86704128,0.2064344882965088
2,3,3,3,64,86704128,0.2131035327911377
2,3,3,3,64,86704128,0.21465563774108887
2,3,3,3,64,86704128,0.15969276428222656
2,3,3,3,64,86704128,0.2025308609008789
2,3,3,3,64,86704128,0.2819380760192871
2,3,3,3,64,86704128,0.2801156044006348
2,3,3,3,64,86704128,0.20416665077209475
2,3,3,3,64,86704128,0.27925658226013184
2,3,3,3,64,86704128,0.15946340560913086
2,3,3,3,64,86704128,0.21056270599365234
2,3,3,3,64,86704128,0.15911626815795898
2,3,3,3,64,86704128,0.21431636810302732
2,3,3,3,64,86704128,0.20527172088623047
2,3,3,3,64,86704128,0.2062540054321289
2,3,3,3,64,86704128,0.2546072006225586
2,3,3,3,64,86704128,0.28029656410217285
2,3,3,3,64,86704128,0.21448016166687006
2,3,3,3,64,86704128,0.2015383243560791
2,3,3,3,64,86704128,0.2795701026916504
2,3,3,3,64,86704128,0.1621990203857422
2,3,3,3,64,86704128,0.1622776985168457
2,3,3,3,64,86704128,0.15923810005187988
2,3,3,3,64,86704128,0.1932084560394287
2,3,3,3,64,86704128,0.2788705825805664
2,3,3,3,64,86704128,0.1762542724609375
2,3,3,3,64,86704128,0.19329190254211426
2,3,3,3,64,86704128,0.2112584114074707
2,3,3,3,64,86704128,0.2805147171020508
2,3,3,3,64,86704128,0.2794530391693115
2,3,3,3,64,86704128,0.21139311790466309
2,3,3,3,64,86704128,0.20324397087097168
2,3,3,3,64,86704128,0.2548561096191406
2,3,3,3,64,86704128,0.20838451385498047
2,3,3,3,64,86704128,0.21214795112609866
2,3,3,3,64,86704128,0.184542179107666
2,3,3,3,64,86704128,0.18459773063659668
2,3,3,3,64,86704128,0.21255207061767575
2,3,3,3,64,86704128,0.2107388973236084
2,3,3,3,64,86704128,0.2768845558166504
2,3,3,3,64,86704128,0.20593762397766116
2,3,3,3,64,86704128,0.2547619342803955
2,3,3,3,64,86704128,0.2456657886505127
2,3,3,3,64,86704128,0.24561047554016116
2,3,3,3,64,86704128,0.211641788482666
2,3,3,3,64,86704128,0.2060208320617676
2,3,3,3,64,86704128,0.2769620418548584
2,3,3,3,64,86704128,0.2117447853088379
2,3,3,3,64,86704128,0.1992335319519043
2,3,3,3,64,86704128,0.19928836822509768
2,3,3,3,64,86704128,0.20549440383911133
2,3,3,3,64,86704128,0.20542383193969727
2,3,3,3,64,86704128,0.278073787689209
2,3,3,3,64,86704128,0.2787094116210937
2,3,3,3,64,86704128,0.2082462310791016
2,3,3,3,64,86704128,0.20340394973754886
2,3,3,3,64,86704128,0.2786128520965576
2,3,3,3,64,86704128,0.2807121276855469
2,3,3,3,64,86704128,0.17959237098693848
2,3,3,3,64,86704128,0.1796424388885498
2,3,3,3,64,86704128,0.2784698009490967
2,3,3,3,64,86704128,0.20363473892211914
2,3,3,3,64,86704128,0.2034900188446045
2,3,3,3,64,86704128,0.20779132843017575
2,3,3,3,64,86704128,0.2128007411956787
