Layer,Hf,Wf,Cin,Cout,FLOPS,Time
2,3,3,3,64,86704128,0.03409528732299805
2,3,3,3,64,86704128,0.03714251518249512
2,3,3,3,64,86704128,0.03282761573791504
2,3,3,3,64,86704128,0.03520989418029785
2,3,3,3,64,86704128,0.03286242485046387
2,3,3,3,64,86704128,0.03617596626281738
2,3,3,3,64,86704128,0.03335428237915039
2,3,3,3,64,86704128,0.03497052192687988
2,3,3,3,64,86704128,0.0329592227935791
2,3,3,3,64,86704128,0.03680729866027832
2,3,3,3,64,86704128,0.03579115867614746
2,3,3,3,64,86704128,0.03540611267089844
2,3,3,3,64,86704128,0.03289937973022461
2,3,3,3,64,86704128,0.03539609909057617
2,3,3,3,64,86704128,0.03406047821044922
2,3,3,3,64,86704128,0.03661155700683594
2,3,3,3,64,86704128,0.03262138366699219
2,3,3,3,64,86704128,0.03514242172241211
2,3,3,3,64,86704128,0.03260207176208496
2,3,3,3,64,86704128,0.03630852699279785
2,3,3,3,64,86704128,0.032715797424316406
2,3,3,3,64,86704128,0.03506016731262207
2,3,3,3,64,86704128,0.03280329704284668
2,3,3,3,64,86704128,0.03655433654785156
2,3,3,3,64,86704128,0.03520989418029785
2,3,3,3,64,86704128,0.035386085510253906
2,3,3,3,64,86704128,0.03278827667236328
2,3,3,3,64,86704128,0.035141706466674805
2,3,3,3,64,86704128,0.0341641902923584
2,3,3,3,64,86704128,0.035387277603149414
2,3,3,3,64,86704128,0.033031225204467766
2,3,3,3,64,86704128,0.03549814224243164
2,3,3,3,64,86704128,0.0343775749206543
2,3,3,3,64,86704128,0.03715062141418457
2,3,3,3,64,86704128,0.03281664848327637
2,3,3,3,64,86704128,0.03511881828308105
2,3,3,3,64,86704128,0.03311634063720703
2,3,3,3,64,86704128,0.036397457122802734
2,3,3,3,64,86704128,0.032944440841674805
2,3,3,3,64,86704128,0.03503680229187012
2,3,3,3,64,86704128,0.033130884170532234
2,3,3,3,64,86704128,0.0377805233001709
2,3,3,3,64,86704128,0.03440427780151367
2,3,3,3,64,86704128,0.03497147560119629
2,3,3,3,64,86704128,0.033005714416503906
2,3,3,3,64,86704128,0.03649353981018066
2,3,3,3,64,86704128,0.03374481201171875
2,3,3,3,64,86704128,0.037070035934448235
2,3,3,3,64,86704128,0.03285050392150879
2,3,3,3,64,86704128,0.03491830825805664
2,3,3,3,64,86704128,0.03418469429016113
2,3,3,3,64,86704128,0.03757405281066895
2,3,3,3,64,86704128,0.03300666809082031
2,3,3,3,64,86704128,0.035176753997802734
2,3,3,3,64,86704128,0.03296184539794922
2,3,3,3,64,86704128,0.03714132308959961
2,3,3,3,64,86704128,0.035071134567260735
