Layer,Hf,Wf,Cin,Cout,FLOPS,Time
4,3,3,16,16,176947200,0
7,1,1,16,32,39321600,0
10,3,3,32,32,707788800,0
13,1,1,32,32,19660800,0
16,3,3,32,32,176947200,0
19,1,1,32,32,19660800,0
22,3,3,32,32,176947200,0
25,1,1,32,64,9830400,0
28,3,3,64,64,176947200,0
31,1,1,64,64,19660800,0
34,3,3,64,64,176947200,0
37,1,1,64,64,19660800,0
40,1,1,64,8,2457600,0
42,3,3,8,16,5529600,0
45,3,3,16,16,11059200,0
47,1,1,64,8,2457600,0
49,3,3,8,16,5529600,0
52,3,3,16,16,11059200,0
54,1,1,64,8,2457600,0
56,3,3,8,12,4147200,0
59,3,3,12,16,8294400,0
62,3,3,16,16,11059200,0
65,1,1,48,64,14745600,0
67,1,1,64,64,19660800,0
71,3,3,64,64,176947200,0
73,1,1,64,6,1843200,0
85,3,3,64,64,176947200,0
87,1,1,64,12,3686400,0
99,3,3,64,64,176947200,0
102,1,1,64,128,9830400,0
105,3,3,128,128,176947200,0
108,1,1,128,128,19660800,0
111,3,3,128,128,176947200,0
114,1,1,128,128,19660800,0
117,3,3,128,128,176947200,0
119,1,1,128,4,614400,0
131,3,3,128,128,176947200,0
133,1,1,128,8,1228800,0
145,3,3,128,128,176947200,0
148,1,1,128,256,9830400,0
151,3,3,256,256,176947200,0
154,1,1,256,256,19660800,0
157,3,3,256,256,176947200,0
159,1,1,256,4,307200,0
171,3,3,256,256,176947200,0
173,1,1,256,8,614400,0
185,1,1,256,64,4915200,0
187,3,3,64,64,11059200,0
189,1,1,64,256,1310720,0
191,3,3,256,6,1105920,0
203,3,3,256,12,2211840,0
