Test,Eppstein,LazyEppstein
dense_00,278.853,266.841
dense_01,265.363,266.951
almost_path_00,15.9234,15.8286
almost_path_01,83.608,43.2939
almost_path_02,21.7908,10.7061
example_00,0.0026759,0.002059
loop_00,325.979,256.608
max_random_00,0.219092,0.173152
max_random_01,0.213929,0.168744
max_random_02,0.21244,0.165379
max_random_03,0.214281,0.169572
max_random_04,0.213734,0.169906
path_00,247.964,185.681
random_00,0.192825,0.145316
random_01,174.136,137.048
random_02,0.0322716,0.0280618
random_04,0.195035,0.15004
small_random_00,0.000735,0.00058
small_random_01,0.0658814,0.0488195
small_random_02,0.234453,0.216736
smallest_random_00,0.15372,0.156018
smallest_random_01,0.0727434,0.0734003
smallest_random_02,0.158395,0.158971
sparse_00,0.210781,0.168481
sparse_01,0.212192,0.168104
