NumNodes,K,EppDist,EppPath,LazyDist,LazyPath
92,64,0.123619,0.162745,0.104327,0.131801
92,128,0.138457,0.179585,0.127565,0.155362
92,256,0.172771,0.229873,0.152069,0.209274
92,512,0.251605,0.337285,0.239712,0.309922
92,1024,0.417897,0.546548,0.404661,0.540752
92,2048,0.717523,0.983371,0.688804,0.973341
92,4096,1.29153,1.8926,1.28787,1.88752
92,8192,2.51102,3.67063,2.51701,3.6902
188,64,0.262596,0.277503,0.17374,0.221483
188,128,0.256593,0.305975,0.196283,0.254876
188,256,0.300832,0.362466,0.238732,0.309866
188,512,0.376258,0.469354,0.317561,0.422666
188,1024,0.521688,0.681272,0.470049,0.61024
188,2048,0.828981,1.08755,0.80054,1.05125
188,4096,1.46751,1.9322,1.44164,1.91282
188,8192,2.85101,4.07209,2.83264,3.8908
380,64,0.556731,0.549846,0.325469,0.409489
380,128,0.576592,0.580281,0.34417,0.442344
380,256,0.556831,0.607431,0.390021,0.503768
380,512,0.633329,0.761243,0.474389,0.626341
380,1024,0.781898,0.98261,0.636682,0.864245
380,2048,1.10699,1.42729,0.962275,1.2818
380,4096,1.73984,2.34784,1.62401,2.22509
380,8192,3.38045,4.977,2.99699,4.78176
764,64,1.15922,1.11437,0.629608,0.78927
764,128,1.0407,1.12038,0.663428,0.835353
764,256,1.08097,1.21125,0.693657,0.905634
764,512,1.155,1.35304,0.790862,1.05781
764,1024,1.30653,1.61479,0.967215,1.32514
764,2048,1.63612,2.09408,1.27385,1.77612
764,4096,2.47424,3.7132,1.87556,2.94975
764,8192,4.00724,6.90189,3.58678,6.394
1532,64,2.40562,2.414,1.39562,1.42901
1532,128,2.41662,2.47029,1.41784,1.48449
1532,256,2.46888,2.55546,1.46493,1.57936
1532,512,2.5349,2.72134,1.55894,1.76333
1532,1024,2.69021,3.08135,1.73785,2.1011
1532,2048,3.02199,4.25677,2.13029,2.78866
1532,4096,3.92437,6.41691,2.89226,5.23724
1532,8192,5.63694,11.5848,4.74276,9.65603
3068,64,5.09062,5.71112,2.85367,2.91438
3068,128,5.11593,5.74426,2.89711,2.99204
3068,256,5.14909,5.90882,2.9306,3.12743
3068,512,5.2453,6.2839,3.01427,3.3752
3068,1024,5.50044,7.08807,3.20819,3.89212
3068,2048,6.0703,9.13371,3.71612,6.02474
3068,4096,7.02166,12.6002,4.76859,9.3341
3068,8192,8.61489,19.934,6.33016,16.6071
6140,64,11.5327,12.7546,5.80987,6.56434
6140,128,11.5892,12.8232,5.86007,6.70056
6140,256,11.6626,12.9519,5.91525,6.92692
6140,512,11.8476,13.861,6.11828,7.40046
6140,1024,12.1522,15.9102,6.7364,9.06545
6140,2048,12.604,19.2266,7.51856,12.2399
6140,4096,13.6215,25.2269,8.32221,18.0839
6140,8192,15.4058,37.3161,9.996,29.5453
12284,64,29.051,31.0689,13.7812,15.2722
12284,128,28.7364,31.1191,13.8717,15.5298
12284,256,28.9874,31.7324,14.1432,16.0903
12284,512,29.0334,33.6343,14.3918,17.9084
12284,1024,29.0651,36.7045,14.7569,20.6426
12284,2048,29.0975,42.8178,15.1332,25.5955
12284,4096,30.0732,53.4176,15.96,36.7662
12284,8192,32.2381,75.5255,17.9731,56.6476
24572,64,69.0899,75.8666,32.9509,35.1785
24572,128,68.3563,74.8579,33.0379,35.5032
24572,256,68.5257,78.1687,33.1488,37.4136
24572,512,68.4983,80.7395,33.3125,39.6368
24572,1024,69.0279,85.6658,33.5432,44.135
24572,2048,68.9566,95.1339,33.9605,52.7833
24572,4096,69.5972,114.584,34.8307,72.5231
24572,8192,70.4715,157.904,36.4966,114.91
49148,64,152.533,166.405,76.1494,80.8309
49148,128,151.786,167.121,76.8597,81.896
49148,256,150.598,169.398,77.0066,85.1006
49148,512,152.764,172.622,76.884,89.0365
49148,1024,150.94,182.06,78.56,97.9315
49148,2048,150.447,201.34,77.5704,114.536
49148,4096,150.901,242.224,79.8944,155.698
49148,8192,154.132,328.69,81.3872,239.403
98300,64,325.888,356.522,168.669,175.991
98300,128,326.357,358.994,169.148,177.962
98300,256,325.897,363.382,168.654,183.978
98300,512,325.921,373.175,168.16,192.435
98300,1024,326.233,393.612,169.202,208.955
98300,2048,332.038,431.854,169.575,244.002
98300,4096,328.623,513.92,170.347,325.246
98300,8192,330.819,672.354,177.062,486.725
