NumNodes,K,EppDist,EppPath,LazyDist,LazyPath
92,64,0.114383,0.148538,0.0927649,0.125465
92,128,0.127556,0.181773,0.116648,0.164068
92,256,0.159942,0.262231,0.1426,0.242272
92,512,0.241129,0.429699,0.225754,0.425958
92,1024,0.390543,0.785972,0.381752,0.776985
92,2048,0.694773,1.56597,0.698245,1.55499
92,4096,1.34927,3.11811,1.34783,3.12261
92,8192,2.61266,6.33238,2.67793,6.35196
188,64,0.250881,0.268123,0.179615,0.214822
188,128,0.240705,0.310716,0.189317,0.262287
188,256,0.274965,0.399902,0.220139,0.353145
188,512,0.344762,0.582779,0.293959,0.537198
188,1024,0.487501,0.959723,0.442261,0.908332
188,2048,0.781512,1.71534,0.748758,1.65496
188,4096,1.38643,3.29008,1.36515,3.20876
188,8192,2.9648,7.62892,3.03166,7.72064
380,64,0.467064,0.536026,0.309875,0.406808
380,128,0.483208,0.588556,0.329312,0.462449
380,256,0.515913,0.695665,0.368558,0.574553
380,512,0.589663,0.91685,0.445986,0.790554
380,1024,0.73449,1.32466,0.594419,1.2385
380,2048,1.04283,2.22207,0.914003,2.07099
380,4096,1.82962,4.72447,1.64522,4.5872
380,8192,3.32965,9.88066,3.09753,9.76835
764,64,0.965191,1.10408,0.601801,0.785713
764,128,0.97952,1.14952,0.622857,0.861436
764,256,1.00813,1.29609,0.66451,1.00738
764,512,1.08437,1.58567,0.751903,1.29455
764,1024,1.22506,2.13433,0.907294,1.84709
764,2048,1.60451,3.91766,1.25138,3.5715
764,4096,2.35868,7.17912,2.03255,6.66919
764,8192,3.84164,14.4405,3.47295,13.8815
1532,64,2.29915,2.48211,1.3493,1.43132
1532,128,2.31503,2.53078,1.37532,1.53762
1532,256,2.35439,2.75297,1.41428,1.7623
1532,512,2.42991,3.68552,1.50892,2.17794
1532,1024,2.60331,5.0687,1.68639,3.54211
1532,2048,3.01136,7.69038,2.08136,6.14596
1532,4096,3.87229,13.1899,2.92968,11.6705
1532,8192,5.42896,24.6036,4.71271,23.1581
3068,64,4.81911,5.63544,2.7463,2.92385
3068,128,4.85127,5.88052,2.7874,3.10847
3068,256,4.92431,6.47494,2.83596,3.47571
3068,512,5.0918,7.73713,2.92109,4.42823
3068,1024,5.42035,10.4208,3.23126,6.85913
3068,2048,5.97099,15.4954,3.90905,11.9147
3068,4096,6.76724,25.5603,4.74314,21.8471
3068,8192,8.40694,45.5745,6.23838,42.3621
6140,64,10.9252,12.4389,5.63701,6.60705
6140,128,10.9379,12.7292,5.70176,6.99556
6140,256,11.1522,14.4756,5.88125,7.47848
6140,512,11.5151,17.4093,6.32696,9.43065
6140,1024,11.5606,22.2762,6.94073,14.5528
6140,2048,12.0322,32.1142,7.38999,24.3131
6140,4096,12.8919,51.4462,8.15347,43.529
6140,8192,14.6916,90.2597,9.87062,82.7437
12284,64,27.5975,30.7016,13.5325,15.6415
12284,128,27.2818,32.2624,13.789,16.3995
12284,256,26.941,34.9417,14.1288,18.0721
12284,512,27.0976,39.4709,14.2913,21.5351
12284,1024,27.4098,49.3786,14.6138,31.0844
12284,2048,27.5305,68.9591,15.218,49.9849
12284,4096,28.5483,106.188,15.8353,87.5654
12284,8192,30.3378,182.164,17.8318,163.399
24572,64,65.4198,76.1394,32.3552,35.4597
24572,128,65.4018,77.6741,32.3684,36.9289
24572,256,65.4009,83.0734,32.3892,39.7685
24572,512,65.4967,92.2654,32.5544,45.6281
24572,1024,65.4794,110.738,32.863,63.852
24572,2048,65.6924,147.208,34.7239,100.276
24572,4096,66.1706,219.476,33.916,173.339
24572,8192,67.9727,363.227,35.6997,316.348
49148,64,144.797,167.174,75.9735,82.4279
49148,128,142.413,169.046,76.0064,85.2306
49148,256,141.1,178.323,75.8859,90.2678
49148,512,143.641,197.772,78.2299,100.399
49148,1024,144.898,232.642,77.1073,137.213
49148,2048,143.517,307.99,80.5219,211.276
49148,4096,143.477,451.353,79.516,354.442
49148,8192,146.384,735.288,82.4205,640.787
98300,64,313.424,360.047,168.015,180.003
98300,128,312.681,368.637,168.905,186.34
98300,256,314.621,383.783,166.735,194.16
98300,512,313.063,419.756,167.021,216.397
98300,1024,313.628,490.198,167.463,286.93
98300,2048,359.388,635.43,169.055,442.427
98300,4096,312.37,920.215,170.36,714.2
98300,8192,314.867,1479.74,176.624,1275.72
196604,64,662.755,750.486,366.338,388.82
196604,128,666.527,764.025,367.241,399.886
196604,256,664.652,783.716,366.447,419.523
196604,512,660.27,866.397,366.656,459.004
196604,1024,653.917,1010.58,366.521,604.662
196604,2048,649.927,1274.87,380.995,877.323
196604,4096,662,1821.23,368.214,1410.39
196604,8192,674.139,2889.02,382.068,2487.72
393212,64,1411.41,1589.26,784.03,831.035
393212,128,1400.42,1626.58,787.854,851.535
393212,256,1433.19,1679.96,786.605,891.012
393212,512,1413.86,1829.27,788.476,991.713
393212,1024,1549.44,2105.31,789.522,1259.33
393212,2048,1562.81,2654.04,788.624,1831.57
393212,4096,1660.07,3812.92,843.516,2939.27
393212,8192,1605.31,6046.17,799.241,5150.75
786428,64,3012.36,3359.17,1699.64,1786.91
786428,128,2970.24,3432.11,1701.81,1825.22
786428,256,3004.2,3520.77,1700.09,1916.69
786428,512,2969.01,3808.33,1701.03,2088.21
786428,1024,2960.02,4385.14,1706.47,2692.39
786428,2048,2948.47,5435.66,1704.66,3692.84
786428,4096,2964.47,7675.58,1704.16,5962.25
786428,8192,2982.66,12016.1,1704.83,10331.7
1572860,64,6361.06,7304.31,3667.32,3852.03
1572860,128,6390.46,7278.35,3672.73,3956.17
1572860,256,6307.21,7508.62,3652.47,4154.94
1572860,512,6499.03,8159.3,3789.43,4858.68
1572860,1024,6635.03,9618.42,3705.99,5963.6
1572860,2048,6345.54,11807.2,3662.41,8248.12
1572860,4096,6352.03,16861.2,3652.81,13139.7
