Test,Eppstein,LazyEppstein
dense_00,267.971,258.212
dense_01,257.732,260.855
almost_path_00,15.9451,15.8395
almost_path_01,82.3121,43.2374
almost_path_02,21.1909,10.7078
example_00,0.0025489,0.002036
loop_00,319.604,249.347
max_random_00,0.212542,0.167471
max_random_01,0.212066,0.167775
max_random_02,0.213169,0.166966
max_random_03,0.216577,0.17269
max_random_04,0.211793,0.166406
path_00,244.354,181.892
random_00,0.193356,0.143708
random_01,171.428,135.786
random_02,0.0325016,0.0288156
random_04,0.201422,0.156929
small_random_00,0.000779,0.000561
small_random_01,0.0644511,0.0491723
small_random_02,0.226237,0.212288
smallest_random_00,0.146562,0.149104
smallest_random_01,0.068754,0.0711092
smallest_random_02,0.151121,0.151677
sparse_00,0.210721,0.168496
sparse_01,0.210529,0.168706
