NumNodes,K,EppDist,EppPath,LazyDist,LazyPath
92,64,0.135425,0.577616,0.113765,0.173555
92,128,0.141507,0.198207,0.131078,0.17643
92,256,0.177312,0.244213,0.168015,0.223221
92,512,0.264676,0.348493,0.254747,0.331448
92,1024,0.427829,0.524212,0.413992,0.514268
92,2048,0.697423,0.830924,0.698028,0.819304
92,4096,1.49958,1.65505,1.52452,1.67366
92,8192,2.82723,3.22614,2.88054,3.25654
188,64,0.268742,0.302736,0.193069,0.239827
188,128,0.287049,0.328211,0.218494,0.276981
188,256,0.314052,0.377518,0.254164,0.332238
188,512,0.381659,0.469299,0.337215,0.424237
188,1024,0.528976,0.64526,0.480421,0.607877
188,2048,0.84103,0.99417,0.808618,0.970935
188,4096,1.46725,1.6949,1.4507,1.66435
188,8192,2.77217,3.32234,2.77646,3.3212
380,64,0.555748,0.568501,0.357222,0.43594
380,128,0.570531,0.593197,0.379557,0.463515
380,256,0.597789,0.645064,0.419053,0.525159
380,512,0.642036,0.746959,0.477806,0.624572
380,1024,0.807055,0.925549,0.639028,0.815566
380,2048,1.1138,1.30117,0.988028,1.19901
380,4096,1.76771,2.045,1.65594,1.90855
380,8192,3.12168,3.7757,3.00915,3.5066
764,64,1.1554,1.13978,0.65028,0.817366
764,128,1.05347,1.14598,0.662323,0.860527
764,256,1.08036,1.17654,0.703584,0.922043
764,512,1.16382,1.26215,0.811396,1.0596
764,1024,1.31961,1.52042,0.98369,1.25202
764,2048,1.63707,1.86377,1.32226,1.63239
764,4096,2.29192,2.65041,1.9718,2.30864
764,8192,3.69884,4.65779,3.34771,4.08494
1532,64,2.4574,2.45863,1.40139,1.45347
1532,128,2.45049,2.50039,1.41892,1.49441
1532,256,2.46865,2.55549,1.4727,1.57345
1532,512,2.55467,2.68469,1.56955,1.71286
1532,1024,2.72246,2.90962,1.74725,1.95729
1532,2048,3.08625,3.34372,2.0962,2.42642
1532,4096,3.79107,4.32715,2.79846,3.3477
1532,8192,5.55565,7.37912,4.3976,5.58638
3068,64,5.12182,5.59766,2.85838,2.95786
3068,128,5.12909,5.67866,2.88885,2.99364
3068,256,5.16974,5.81663,3.14602,3.07694
3068,512,5.22333,5.86905,3.00472,3.20395
3068,1024,5.50949,6.27793,3.21607,3.50235
3068,2048,5.98124,7.09002,3.69591,4.13556
3068,4096,6.81763,8.85052,4.7118,5.64578
3068,8192,8.64192,14.5747,6.42206,10.6291
6140,64,11.6748,12.6752,5.88417,6.89878
