Test,Eppstein,LazyEppstein
dense_00,272.56,260.865
dense_01,258.928,259.841
almost_path_00,15.5281,15.3666
almost_path_01,81.6064,43.1364
almost_path_02,21.3196,11.0544
example_00,0.002569,0.0019939
loop_00,316.119,252.702
max_random_00,0.215296,0.168279
max_random_01,0.210458,0.16804
max_random_02,0.214232,0.168726
max_random_03,0.214055,0.168956
max_random_04,0.217924,0.171688
path_00,246.441,187.866
random_00,0.192573,0.141443
random_01,172.183,135.753
random_02,0.0328438,0.0282447
random_04,0.201932,0.158384
small_random_00,0.000796,0.0005669
small_random_01,0.0639654,0.0488086
small_random_02,0.224278,0.211622
smallest_random_00,0.147701,0.150553
smallest_random_01,0.0685164,0.0707895
smallest_random_02,0.152338,0.153806
sparse_00,0.216529,0.172813
sparse_01,0.216514,0.173878
