Test,Eppstein,LazyEppstein
dense_00,287.089,284.447
dense_01,282.117,284.584
almost_path_00,16.0071,15.9098
almost_path_01,83.5337,43.0867
almost_path_02,21.7667,10.6113
example_00,0.00663,0.0055749
max_random_00,0.214468,0.169508
max_random_01,0.214663,0.167731
max_random_02,0.215777,0.171463
max_random_03,0.211727,0.168319
max_random_04,0.213969,0.169047
path_00,251.925,188.163
random_00,0.178629,0.140532
random_01,190.453,151.362
random_02,0.0295617,0.0282169
random_04,0.199526,0.152986
small_random_00,0.000993,0.000564
small_random_01,0.13798,0.119051
small_random_02,0.349102,0.331626
smallest_random_00,0.253805,0.25775
smallest_random_01,0.141396,0.142589
smallest_random_02,0.256584,0.259265
sparse_00,0.209403,0.167991
sparse_01,0.209485,0.167876
