OpType,Time
Conv,0.000177
Conv,0.000272
Conv,0.000124
Conv,0.000063
BatchNormalization,0
Pad,0.001826
Conv,0
Conv,0.000108
Add,0.000435
Conv,0
Pad,0.000527
Conv,0
Conv,0.000075
Add,0.000254
Add,0.000189
Conv,0
Pad,0.000285
Conv,0
Conv,0.000039
Add,0.000214
Add,0.000165
Add,0.00017
Conv,0
Conv,0.000064
Conv,0.000043
Add,0.00036
Add,0.000267
Conv,0
Pad,0.000438
Conv,0
Conv,0.000072
Add,0.000386
Add,0.000227
Conv,0
Conv,0.000101
Conv,0.000038
Conv,0.000145
BatchNormalization,0
GlobalAveragePool,0.000192
MatMul,0
